Timestep;Price;G_WindOffshore;G_GasTurbine;G_Baseload;G_Peak;G_WindOnshore;G_SolarPanels;G_TypeC;G_TypeA;G_TypeB;Demand;Total_PV
78.0;0.007314459260993388;0.0;0.0;1.3336580972302361e-12;0.0;0.0;0.0;-0.16570444837123396;-0.10042392348708132;-0.3323318404247681;-11.382;0.0
79.0;0.007597618286753792;0.0;0.0;1.4669376632005138e-12;0.0;0.0;0.0;-0.16253854743671217;-0.1076992715810852;-0.3260173522357646;-11.848;9.187908806097389e-7
80.0;0.0076471413498347875;0.0;0.0;1.49465773528747e-12;0.0;0.0;0.0;-0.15467061523706943;-0.1054833005896433;-0.31023543724603214;-11.955;3.259993853250011e-5
81.0;0.0074134530330696455;0.0;0.0;1.3758978215201665e-12;0.0;0.0;0.0;-0.1425481015840054;-0.09524620520830145;-0.28586569882120594;-11.619;0.000147222356684147
82.0;0.0070458467813402335;0.0;0.0;1.0235428958936815e-12;0.0;0.0;0.0;-0.13008125537419288;-0.0837209985800548;-0.26077973510996977;-11.066;0.000333285684061336
83.0;0.006829868901330294;0.0;0.0;8.268606695365916e-13;0.0;0.0;0.0;-0.12277786393332496;-0.0770060280045359;-0.24606062970253548;-10.741;0.0005414539155767946
84.0;0.006633657299277238;0.0;0.0;6.844619367352057e-13;0.0;0.0;0.0;-0.11814117690263473;-0.07363568439426273;-0.2366982378820455;-10.437;0.0007139350749553202
85.0;0.006581246994692567;0.0;0.0;6.513345899969118e-13;0.0;0.0;0.0;-0.11828305403777604;-0.0744052311975058;-0.23694188522677298;-10.35;0.000831977464429056
86.0;0.006462983222492119;0.0;0.0;5.832122597817896e-13;0.0;0.0;0.0;-0.11927947490448396;-0.07675186184247922;-0.23888899529542704;-10.151;0.0009566813688609724
87.0;0.006760420345579103;0.0;0.0;7.729151461793032e-13;0.0;0.0;0.0;-0.12992322928524902;-0.08692355735408736;-0.2602275161687241;-10.596;0.0010597422044236284
88.0;0.006895821758964184;0.0;0.0;8.820418029108586e-13;0.0;0.0;0.0;-0.13936259628854897;-0.09830925659696667;-0.2791556036876368;-10.778;0.0011041562297242004
89.0;0.007240259656389054;0.0;0.0;1.245343391656503e-12;0.0;0.0;0.0;-0.15463612255716402;-0.11545090201878061;-0.3098619064026426;-11.279;0.0009691213879821187
90.0;0.0076788444366552005;0.0;0.0;1.5132140884894398e-12;0.0;0.0;0.0;-0.17340658480560284;-0.13523619818838903;-0.34761843471095494;-11.921;0.0007830995794818895
91.0;0.008141403367319942;0.0;0.0;2.0582823493584594e-12;0.0;0.0;0.0;-0.19379575468467314;-0.15338969112225287;-0.38864565269247525;-12.599;0.0005680770201636942
92.0;0.008493623233463095;0.0;0.0;3.462921695306755e-12;0.0;0.0;0.0;-0.21188575144628427;-0.1637308623552531;-0.4250629502254497;-13.111;0.0003154274428546125
93.0;0.00859370553790311;0.0;0.0;3.971246037918524e-12;0.0;0.0;0.0;-0.22291486339700592;-0.1613976561314566;-0.4472619263139685;-13.244;0.00011252841953470879
94.0;0.008326265084153028;0.0;0.0;2.727431612796617e-12;0.0;0.0;0.0;-0.22246670253569997;-0.1457332531669987;-0.4463431312431198;-12.823;6.571427975491409e-6
95.0;0.007967544195044956;0.0;0.0;1.7173554336601634e-12;0.0;0.0;0.0;-0.2169203951412857;-0.12593917222039142;-0.4351582480880886;-12.272;0.0
96.0;0.007519630370585128;0.0;0.0;1.4262014302144001e-12;0.0;0.0;0.0;-0.20666358852947267;-0.07924566360918986;-0.4145115399644155;-11.616;0.0
97.0;0.006765494533744465;0.0;0.0;1.0041145238019703e-12;0.0;0.0;0.0;-0.18492605795276926;-0.07153879083279388;-0.37080604383099947;-10.454;0.0
98.0;0.006589075491165052;0.0;0.0;8.503008685778431e-13;0.0;0.0;0.0;-0.17698335135888285;-0.0704943164143299;-0.35485267794516934;-10.19;0.0
99.0;0.006507130996697082;0.0;0.0;7.88026786546285e-13;0.0;0.0;0.0;-0.16982918803303423;-0.07179951469915416;-0.34049824945980467;-10.076;0.0
100.0;0.006429676256208019;0.0;0.0;7.339061581155997e-13;0.0;0.0;0.0;-0.16138220011676413;-0.07534281971475804;-0.3235542222177262;-9.971;0.0
101.0;0.006582154040963181;0.0;0.0;8.448335453669103e-13;0.0;0.0;0.0;-0.1574798092096714;-0.08380211816692298;-0.31574861132571114;-10.224;0.0
102.0;0.0072540568906247615;0.0;0.0;1.4700688411306094e-12;0.0;0.0;0.0;-0.16434225078929032;-0.09959530677284295;-0.32959225939578374;-11.288;0.0
