scen_number;sensitivity;n_iter;walltime;PrimalResidual_EOM;DualResidual_EOM;rho_EOM
1;ref;500;0.17502483;0.9357468483585366;0.6040043032373873;0.01
1;ref;500;0.18868084333333332;0.9357468483585366;0.6040043032373873;0.01
1;ref;500;0.18882841166666667;0.9357468483585366;0.6040043032373873;0.01
1;ref;500;1.1392921150000002;0.9731261912377245;0.6827747949252327;0.01
1;ref;500;1.1355324866666667;0.8582169215557688;0.4385100142583419;0.01
1;ref;500;1.1073443233333333;0.9208061091562891;0.8743403296566787;0.01
1;ref;500;2.2245024583333333;0.9939824500871703;0.643316976179123;0.01
1;ref;500;14.940103478333334;0.4307141182446588;0.14371283252276842;0.01
1;ref;500;15.580495363333334;0.43779151958602197;0.24503943278278004;0.01
1;ref;500;3.506445483333333;0.30853324016393285;0.26132608234074745;0.01
1;ref;500;3.042762365;0.49455490373584365;0.3774891680407575;0.01
1;ref;500;3.697735911666667;0.49236507698407517;0.9846786945617076;0.01
1;ref;500;3.8716293683333336;0.752891292244231;0.6099396252963469;0.01
1;ref;500;3.8219097900000003;0.9939824500871703;0.643316976179123;0.01
1;ref;500;24.208943918333333;0.9939824500871703;0.643316976179123;0.01
1;ref;500;24.594713855000002;0.0823507696486797;0.09284306268335094;0.01
1;ref;500;12.455344550000001;0.9766248730102446;0.9552362868894072;0.01
1;ref;500;22.151936191666667;0.9901137933019271;0.5529524967927187;0.01
1;ref;500;26.12776046;0.9837844792105164;0.6235102249657788;0.01
1;ref;500;18.155944123333335;0.49236507698407517;0.9846786945617076;0.01
1;ref;500;13.822816408333333;0.9939824500871703;0.643316976179123;0.01
1;ref;500;13.98698753;0.8353955504246003;0.6990957590884854;0.01
1;ref;500;16.346904765;0.49236507698407517;0.9846786945617076;0.01
1;ref;500;13.580848395;0.8353955504246003;0.6990957590884854;0.01
1;ref;5;1.033092705;204.64791473400228;0.2158127980642668;0.01
1;ref;5;3.8827578283333337;322.7933925600188;0.32518974007634743;0.01
1;ref;5;4.471467733333333;322.7933925600188;0.32518974007634743;0.01
2; High gas prices;5;3.9847578;322.9737134274633;0.32469489289522185;0.01
2; High gas prices;5;3.8114291550000003;322.9737134274633;0.32469489289522185;0.01
2; High gas prices;5;3.7317811283333335;322.9737134274633;0.32469489289522185;0.01
