Timestep;Price;G_WindOffshore;G_MidMerit;G_Baseload;G_Peak;G_WindOnshore;G_SolarPanels;G_TypeC;G_TypeA;G_TypeB;Demand;Total_PV
89.0;40.156378411100626;0.5276907;4.886732843857972;5.0;0.0;0.67755102;3.3804179550000004;-0.16906604892718885;-0.12462546685760385;-0.33770104921929345;-13.841;0.0015841563542114488
90.0;40.17082270206324;0.36572623;5.338078664008505;5.0;0.0;0.82857143;2.809597525;-0.17727455526536356;-0.13649089332386355;-0.3542084654626716;-13.674;0.0012725243726667773
91.0;40.201542236481366;0.5015674;6.298156521029813;5.0;0.0;0.52244898;2.067047215;-0.1876163493865024;-0.14660439115264118;-0.3749993944428533;-13.68;0.0008927899809426823
92.0;40.22462830950753;0.700104495;7.019729372912168;5.0;0.0;0.30612245;1.25145124;-0.19520672076138715;-0.14891810083378537;-0.39028268913321745;-13.543;0.0005140707335053673
93.0;40.24203462917278;0.752351095;7.563718744830949;5.0;0.0;0.16734694;0.56888545;-0.19983403074534145;-0.14285564120432687;-0.39961249000079646;-13.31;0.00022373361497524374
94.0;40.26151089330905;0.5015674;8.172289167039404;5.0;0.0;0.081632655;0.15770124;-0.20378751717768337;-0.13184244876203485;-0.40756046456395245;-13.17;6.0076657409025206e-5
95.0;40.25698044881392;0.172413795;8.030501067319499;5.0;0.0;0.04897959;0.002902475;-0.19778506294589338;-0.11344248262071478;-0.3955694453382638;-12.548;1.0838534171637783e-6
96.0;40.22837596221282;0.14629049;7.136747856321357;5.0;0.0;0.008163265;0.0;-0.18503077102937293;-0.07011129866929666;-0.3700595420994616;-11.666;0.0
97.0;40.13706365355851;0.982236155;4.283234458031978;5.0;0.0;0.35510203999999995;0.0;-0.158931923606029;-0.06077799557043943;-0.31786273619224703;-10.083;0.0
98.0;40.13949792876989;0.7575757599999999;4.359312676590982;5.0;0.0;0.20408163499999998;0.0;-0.15173969831882161;-0.05975097554065633;-0.3034793965409135;-9.806;0.0
99.0;40.13734069103005;0.6948798350000001;4.291893412709348;5.0;0.0;0.14693877500000002;0.0;-0.14473837757196742;-0.06049710265231244;-0.2894765440613817;-9.639;0.0
100.0;40.13961791897118;0.579937305;4.363112851009261;5.0;0.0;0.12244898000000001;0.0;-0.13823181099597098;-0.06380388780558477;-0.2764634108476517;-9.587;0.0
101.0;40.14466851370048;0.444096135;4.520830139571744;5.0;0.0;0.114285715;0.0;-0.13193457017085408;-0.06940852063565725;-0.26386892920896526;-9.614;0.0
102.0;40.148281181051495;0.564263325;4.633663261467532;5.0;0.0;0.07755102;0.0;-0.1273933115991608;-0.07629794457743959;-0.25478641206588903;-9.817;0.0
103.0;40.169195746506006;0.229885055;5.287316873014713;5.0;0.0;0.053061225;0.0;-0.12374761039351015;-0.08102055799701116;-0.24749500965436763;-10.118;0.0
104.0;40.19581488336334;0.057471264999999994;6.1192949671320545;5.0;0.0;0.04897959;0.00483746;-0.12427722901068741;-0.08375219086232222;-0.24855382234454837;-10.774;1.7869790215685887e-6
105.0;40.21588080585606;0.09926855;6.746397547998366;5.0;0.0;0.036734695;0.10400542;-0.12605232733483934;-0.08325867590686094;-0.25209514861965826;-11.525;3.883810536543948e-5
106.0;40.21653807781001;0.438871475;6.766854174913397;5.0;0.0;0.053061225;0.310565015;-0.12687046221893247;-0.08076938507187452;-0.25371202301771134;-12.108;0.00011831047117564692
107.0;40.22914256511696;0.38140021;7.160652619264358;5.0;0.0;0.057142855;0.410700465;-0.12785066818267285;-0.07938434885402496;-0.25566115847164983;-12.547;0.0001615219719654696
108.0;40.23647840599134;0.428422155;7.389974990171916;5.0;0.0;0.18367347;0.38022446;-0.13029181544634905;-0.08045948949779551;-0.26054375783499273;-12.911;0.00015618848006326017
109.0;40.20034409478979;1.541274815;6.260727585815801;5.0;0.0;0.436734695;0.279605265;-0.13284863132942037;-0.0828282206755065;-0.26566552148903116;-13.037;0.00012076588159154537
110.0;40.13647480873344;3.31765935;4.26486077988177;5.0;0.0;0.52653061;0.22349071;-0.1345736276545072;-0.0858478465195585;-0.26911996420787504;-12.843;0.0001012235286403175
111.0;40.103714443285256;3.84535005;3.241037847930426;5.0;0.0;0.742857145;0.22349071;-0.1372538548890366;-0.091002902736454;-0.27447901454338525;-12.55;0.00010473386222258665
112.0;40.10334631920587;3.56844305;3.2294892744468555;5.0;0.0;0.9224489800000001;0.24090557499999998;-0.1433751706052756;-0.10019288713891346;-0.2867188632091999;-12.431;0.00011430300968428448
113.0;40.143330083837675;3.375130615;4.479183455465799;5.0;0.0;0.5959183650000001;0.25396672;-0.16026369364870308;-0.11844059485379602;-0.3204948078649729;-13.105;0.00011901575444277858
114.0;40.10816307325815;4.273772205;3.3801161586800026;5.0;0.0;1.09387755;0.229295665;-0.17290198246359129;-0.13338361572243607;-0.34577597045056013;-13.325;0.0001038527118788434
115.0;40.12441192880398;4.23197492;3.8878477164792447;5.0;0.0;0.7836734700000001;0.15625;-0.18341501713187378;-0.14351889839948756;-0.366812203404319;-13.366;6.748681573889162e-5
116.0;40.1120738968983;4.420062695;3.502308522988207;5.0;0.0;1.15102041;0.059017030000000005;-0.19327913951292788;-0.1475776071729505;-0.38655191171600134;-13.405;2.4242996396254536e-5
117.0;40.073912081032454;4.33646813;2.3097563524189053;5.0;0.0;1.8122448999999998;0.00386997;-0.19146763989447388;-0.136937018750105;-0.382934692057235;-12.751;1.5219977553402781e-6
